stop_id,stop_name,zone_id,stop_lat,stop_lon,stop_desc
Ti2rQjiI,Ramdaspalle-Ibrahimpatnam,Ramdaspalle-Ibrahimpatnam,17.23498188,78.63000669,RAMDASPALLE twd Ibrahimpatnam
Hwo3Q7c6,Malisettiguda-Ibrahimpatnam,Malisettiguda-Ibrahimpatnam,17.22398963,78.61877025,MALISETTIGUDA twd Ibrahimpatnam
CUkNa1nA,Chintapallyguda,Chintapallyguda,17.22243211,78.6084947,CHINATHAPALLY GUDA twd Ibrahimpatnam
GdP1jC0V,Damergidda,Damergidda,17.3224337,78.10583002,DAMERGIDDA twd Vikarabad
963DLKmm,Mirjaguda-Chevella,Mirjaguda-Chevella,17.30363034,78.08298892,MIRJAGUDA twd Alur
YCOW0bey,Khanapur Chevella,Khanapur Chevella,17.30296453,78.0622226,KHANAPUR twd Vikarabad
mwM0N8Xe,Alur X Road,Alur X Road,17.30940107,78.05457495,ALUR X ROAD twd Duddagu
mdjazRsU,Aloor-1-Chevella,Aloor-1-Chevella,17.32934938,78.06731075,ALUR VILLAGE twd Duddagu
xuC3oD5L,Tallaram X Roads,Tallaram X Roads,17.36043341,78.07546467,TALLARAM X ROAD twd Tallaram Village
OpIYDZwm,Tallaram,Tallaram,17.35935863,78.06116549,TALLARAM VILLAGE
7re44xqE,Tallaram X Roads,Tallaram X Roads,17.36052018,78.07568461,TALLARAM X ROAD twd Duddagu
77Q9q8Wi,Duddagu,Duddagu,17.36140096,78.08329136,DUDDAGU
OUTj8RsM,Tallaram X Roads,Tallaram X Roads,17.36046594,78.07570338,TALLARAM X ROAD twd Alur Village
aKF7TDpf,Aloor-1-Chevella,Aloor-1-Chevella,17.32918306,78.0673483,ALUR VILLAGE twd Khanapur
